params,fold_scores,mean_test_f1_score,std_test_f1_score,mean_test_specificity,std_test_specificity,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_fit_time,std_fit_time,mean_score_time,std_score_time
"{'nu': 0.0011453077895566821, 'eta0': 0.03833864629268646, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.8226781487464905}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.7846009380934981, 0.5855469865752643, 1.0], 'pr_auc': [0.17901844634231576, 0.17509948834565095, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.03494000434875488, 0.0853872299194336, 0.0955343246459961], 'score_time': [0.06989097595214844, 0.26284098625183105, 0.10538029670715332]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7900493082229207,0.169243589020897,0.4513726448959889,0.38794142223988914,0.07195385297139485,0.026498548705444713,0.14603741963704428,0.08385375305599665
"{'nu': 0.001069608493708074, 'eta0': 0.011339870281517506, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.4890255331993103}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.7861261294790074, 0.6930876892316481, 1.0], 'pr_auc': [0.167845307046138, 0.22278481012658227, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.03528618812561035, 0.08950972557067871, 0.13845419883728027], 'score_time': [0.07319903373718262, 0.10283565521240234, 0.21363186836242676]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8264046062368852,0.12849269341806568,0.46354337239090676,0.37999462472423867,0.08775003751118977,0.04213653984450108,0.12988885243733725,0.06043868446775189
"{'nu': 0.00034184768446721137, 'eta0': 0.027130212634801865, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.1010589525103569}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.8697188538974073, 0.7142959154527277, 1.0], 'pr_auc': [0.3768670151606388, 0.2354290082170839, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.03647303581237793, 0.09342646598815918, 0.11329436302185059], 'score_time': [0.06842970848083496, 0.175614595413208, 0.0724022388458252]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.861338256450045,0.11678864611462245,0.5374320077925742,0.33214257783181816,0.08106462160746257,0.03255754368218049,0.10548218091328938,0.04961761731526743
"{'nu': 0.00025671502226032317, 'eta0': 0.014381160959601402, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.2189512848854065}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.37307825039585335, 0.7142959154527277, 1.0], 'pr_auc': [0.04211447487560215, 0.2354290082170839, 1.0000000000000004], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.03557133674621582, 0.10068845748901367, 0.1241297721862793], 'score_time': [0.08171343803405762, 0.1153569221496582, 0.13882017135620117]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6957913886161937,0.2562739851106807,0.42584782769756213,0.41358648021098343,0.08679652214050293,0.03746454788813352,0.11196351051330566,0.023436882323692357
"{'nu': 0.0005480749532580376, 'eta0': 0.03587796539068222, 'learning_rate': 'invscaling', 'kernel_type': 'rbf', 'gamma': 0.18579541146755219}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.7045280379207212, 0.7120108540417024, 0.31394951820211275], 'pr_auc': [0.2770918444013458, 0.23471137359497046, 0.6949878983131971], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.05753684043884277, 0.07099127769470215, 0.10563111305236816], 'score_time': [0.08195328712463379, 0.24560785293579102, 0.07246518135070801]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5768294700548454,0.18590929678895637,0.4022637054365045,0.20770911695273253,0.07805307706197102,0.02025942615646182,0.13334210713704428,0.07947831694915672
"{'nu': 0.000524698116350919, 'eta0': 0.023491308093070984, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.576387345790863}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.8224778164232901, 0.5849757212225078, 1.0], 'pr_auc': [0.2439067602460102, 0.17502486148600654, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.02611088752746582, 0.08148956298828125, 0.10524296760559082], 'score_time': [0.061450958251953125, 0.1019737720489502, 0.14960980415344238]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8024845125485993,0.17002173810734453,0.47297720724400555,0.3737208825290534,0.07094780604044597,0.03315436626884532,0.10434484481811523,0.03602972862538323
"{'nu': 0.0009141372283920646, 'eta0': 0.019276265054941177, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.17657993733882904}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.7707999226337895, 0.7142959154527277, 1.0], 'pr_auc': [0.17228620866207192, 0.2354290082170839, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.03407454490661621, 0.09241628646850586, 0.09780573844909668], 'score_time': [0.07998967170715332, 0.1271207332611084, 0.08036065101623535]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8283652793621724,0.12353686009500216,0.46923840562638525,0.37618936351295856,0.07476552327473958,0.028856869067625093,0.0958236853281657,0.022130873057030938
"{'nu': 0.0029869067948311567, 'eta0': 0.01531502790749073, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.413754940032959}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.6455953702074677, 0.7142959154527279, 1.0], 'pr_auc': [0.07599891391016082, 0.2354290082170839, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.0438992977142334, 0.0833735466003418, 0.13539433479309082], 'score_time': [0.08436369895935059, 0.1356809139251709, 0.3047294616699219]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7866304285533986,0.15345981394430006,0.43714264070908154,0.40328715486911487,0.087555726369222,0.0374695736407537,0.1749246915181478,0.09414642108113025
"{'nu': 0.002606854774057865, 'eta0': 0.012934237718582153, 'learning_rate': 'constant', 'kernel_type': 'rbf', 'gamma': 0.8119659423828125}","{'f1_score': [0.1049482163406214, 0.0, 0.0], 'precision': [0.05538013116346854, 0.0, 0.0], 'recall': [1.0, 0.0, 0.0], 'roc_auc': [0.828445362087399, 0.5855469865752643, 1.0], 'pr_auc': [0.24143383952803377, 0.17509948834565095, 1.0], 'specificity': [0.0, 1.0, 1.0], 'fit_time': [0.044690608978271484, 0.2051384449005127, 0.14380407333374023], 'score_time': [0.11023902893066406, 0.20685768127441406, 0.14938879013061523]}",0.034982738780207134,0.049473063631924157,0.6666666666666666,0.4714045207910317,0.018460043721156182,0.026106444192459367,0.3333333333333333,0.4714045207910317,0.8046641162208878,0.1700333022781785,0.4721777759578949,0.374207862630083,0.1312110424041748,0.06610504435632404,0.15549516677856445,0.03968002748659642
"{'nu': 0.0002999024873133749, 'eta0': 0.022693967446684837, 'learning_rate': 'optimal', 'kernel_type': 'rbf', 'gamma': 0.09629921615123749}","{'f1_score': [0.0, 0.0, 0.0], 'precision': [0.0, 0.0, 0.0], 'recall': [0.0, 0.0, 0.0], 'roc_auc': [0.7020309758067063, 0.7142959154527277, 1.0], 'pr_auc': [0.35675368162235255, 0.2354290082170839, 1.0], 'specificity': [1.0, 1.0, 1.0], 'fit_time': [0.034226417541503906, 0.08253669738769531, 0.0982048511505127], 'score_time': [0.06680703163146973, 0.09979081153869629, 0.07314920425415039]}",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.805442297086478,0.13766416141797122,0.5307275632798122,0.3355019960131393,0.0716559886932373,0.02722869023702544,0.07991568247477214,0.014290354669606162
