trial,roc_auc_mean,roc_auc_std,value,contamination,n_bins,n_random_cuts
0,0.6294505443492672,0.43218276838306624,19.726777596620092,0.0012243867601746446,1900,760
1,0.6840096450737971,0.35342007167293515,33.058957340086195,0.0010054243353443426,1519,746
2,0.659322296764314,0.37961686283850654,27.970543392580744,0.004702557549013788,1090,446
3,0.6238301049789025,0.42078661610458423,20.30434888743182,0.003692978754153713,2922,877
4,0.6376990446441212,0.3963238437066755,24.13752009374457,0.0027064754908179443,2886,990
5,0.637223809081645,0.4001489420548841,23.70748670267609,0.001709256435791206,776,281
6,0.6852763140614248,0.3570018006665485,32.827451339487624,0.0004509638019466453,4677,339
7,0.647658287525034,0.35314485730671524,29.45134302183187,0.0024230774343875967,188,865
8,0.6703699413370566,0.364153457131753,30.621648420530363,0.002978678375038466,1475,655
9,0.6677211060157363,0.3556422621321644,31.207884388357193,0.0024738040392640556,2024,607
10,0.6398399029597787,0.42434254702062096,21.54973559391577,0.00016859659563514507,3892,125
11,0.6176927498253643,0.42971938240236046,18.79733674230038,0.00013621210952321832,4466,409
12,0.605355792736617,0.43147185932632065,17.388393341029634,0.001200261650724011,4871,19
13,0.6494067006699026,0.44903477775786926,20.037192291203333,0.0007104211757859935,3716,287
14,0.6514328632985169,0.40043647280375716,25.099639049475975,0.0017547505462815935,2452,593
15,0.6580395555334445,0.39287480577040323,26.516474976304128,0.0008269420609076153,3579,325
16,0.6804003938955576,0.30766767401226414,37.27327198832935,0.0017664960324843015,62,722
17,0.6022717938031623,0.4075142042151219,19.47575895880404,0.0018617433052428947,102,814
18,0.6738551841244428,0.3331579592634754,34.06972248609674,0.003267426698144155,642,706
19,0.6213851299301706,0.39646873252751486,22.491639740265573,0.0035671519881795974,784,544
20,0.651776052057046,0.3688033747596824,28.297267729736365,0.004046310591716106,504,995
21,0.6671200030440062,0.3648451428765425,30.22748601674637,0.00308502470505691,1291,707
22,0.6618124157342533,0.38158892973057784,28.022348600367547,0.002093127016892522,1701,714
23,0.6441148576413542,0.39010968412051206,25.40051735208422,0.0013203571614278397,585,801
24,0.6370539596057957,0.41456511853673406,22.248884106906164,0.004906148021910674,1171,898
25,0.6819535307999685,0.31421281080115104,36.77407199988174,0.0033226531958921363,320,513
26,0.6754621081528831,0.3167215247869893,35.87405833658938,0.003299857923419016,298,537
27,0.676909933237028,0.31980159869627267,35.71083345407553,0.004059930563257176,80,509
28,0.6506240647392469,0.3819514678262765,26.867259691297047,0.004076564176744774,990,454
29,0.6487860185948366,0.3912032959181928,25.758272267664385,0.003555918611925796,2074,573
30,0.6320501541864235,0.37195866236518715,26.009149182123636,0.002104278420103905,356,385
31,0.6473795422523757,0.372766623438941,27.46129188134347,0.004228323840219753,89,509
