trial,roc_auc_mean,roc_auc_std,value,n_neighbors,contamination
0,0.6055345753846121,0.2655197334872145,34.001484189739756,5,0.001650433531560891
1,0.6544099120567438,0.24419002141936486,41.0219890637379,15,0.00235516533239753
2,0.618618963457871,0.2370343763524864,38.15845871053847,11,0.0024027446469410308
3,0.6661916836576042,0.2507632208165376,41.54284628410665,17,0.00306373841700316
4,0.6448152757617077,0.2370031131113543,40.78121626503534,14,0.0028007568435373005
5,0.618618963457871,0.2370343763524864,38.15845871053847,11,0.003464252843444356
6,0.6302203706256178,0.2558730677229497,37.434730290266806,10,0.0037513432491595934
7,0.6281569022031789,0.2390805088021219,38.907639340105696,13,0.0015342306397875445
8,0.6661916836576042,0.2507632208165376,41.54284628410665,17,0.0029446786365376356
9,0.6719458271409131,0.24971219942146558,42.22336277194475,20,0.003011719055425399
10,0.6544099120567438,0.24419002141936486,41.0219890637379,15,0.003367420949685973
11,0.6311307240808778,0.259950015355875,37.11807087250028,9,0.0024776778077335087
12,0.6281569022031789,0.2390805088021219,38.907639340105696,13,0.001964711164074014
13,0.6719458271409131,0.24971219942146558,42.22336277194475,20,0.0023391295607333275
14,0.6704922536117195,0.2505959891777608,41.98962644339586,19,0.0024657242568779858
15,0.6617546120106174,0.2473452652492383,41.44093467613791,16,0.0023973479329004385
16,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.002876156316317235
17,0.6544099120567438,0.24419002141936486,41.0219890637379,15,0.003758940746420637
18,0.6704922536117195,0.2505959891777608,41.98962644339586,19,0.0022628754781454964
19,0.6617546120106174,0.2473452652492383,41.44093467613791,16,0.0021145687265013563
20,0.6544099120567438,0.24419002141936486,41.0219890637379,15,0.002264302234140855
21,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.002318116411788776
22,0.6686379994773054,0.2511585395726964,41.7479459904609,18,0.0023608651094195418
23,0.6719458271409131,0.24971219942146558,42.22336277194475,20,0.0035572854657831138
24,0.6661916836576042,0.2507632208165376,41.54284628410665,17,0.0013173873198033547
25,0.6686379994773054,0.25115853957269635,41.747945990460906,18,0.0021117746244093093
26,0.6661916836576042,0.2507632208165376,41.54284628410665,17,0.0030773662181536347
27,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.002741934635788754
28,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0015538939819911234
29,0.6719458271409131,0.24971219942146558,42.22336277194475,20,0.003871470136023227
30,0.6448152757617077,0.2370031131113543,40.78121626503534,14,0.003039954089125244
31,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.001118362592206208
32,0.6731817938282628,0.24871462002298178,42.446717380528106,21,0.0020324726125263352
33,0.6719458271409131,0.24971219942146558,42.22336277194475,20,0.002867311598929934
34,0.6719458271409131,0.24971219942146558,42.22336277194475,20,0.0027051695863135844
35,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0025997657008840183
36,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.0020590682995913455
37,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.00151035979521719
38,0.6740427246602305,0.24794490962240917,42.60978150378214,22,0.003076206062612999
39,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.002845983264019022
40,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.002382458692257278
41,0.6731817938282628,0.24871462002298178,42.446717380528106,21,0.0016957394187807411
42,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0013635985773752678
43,0.6704922536117195,0.2505959891777608,41.98962644339586,19,0.001753736752134253
44,0.6740427246602305,0.24794490962240917,42.60978150378214,22,0.002081928800015624
45,0.6740427246602305,0.24794490962240917,42.60978150378214,22,0.0011276025615137438
46,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.0018748027241048768
47,0.6731817938282628,0.24871462002298178,42.446717380528106,21,0.001916581131999421
48,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0027626859223846244
49,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.0037082448101759774
50,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0025378083923021217
51,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.0016973926606693138
52,0.6731817938282628,0.24871462002298178,42.446717380528106,21,0.0025338687345634104
53,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.0029911363641894726
54,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.0031205180473405656
55,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.0028152751935975042
56,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.003127169257834773
57,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.0024246618798477817
58,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002329492163797372
59,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.003338384241079363
60,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.0021253459397618333
61,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.002175284890009774
62,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.002952519352069095
63,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.0019448002535681996
64,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0020557764365727853
65,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0028846619236154018
66,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.0031107560381204344
67,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024702086019154886
68,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.002857347114964389
69,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023069492651860563
70,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002287812098699813
71,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002342499170480523
72,0.6749840236845467,0.24706712321785682,42.79169004666898,23,0.00221901580899935
73,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.002486851731096848
74,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002256390152380328
75,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002287397764721945
76,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0022649284705031757
77,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002592536228530806
78,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023217405506277015
79,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023700630455952944
80,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0022913302604499535
81,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0022995018443800167
82,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.00221910315208177
83,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0019389960142070237
84,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.00256147223782496
85,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0021268162878345246
86,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024204561745737275
87,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023650849030352667
88,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002492339442529448
89,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002158379395613219
90,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002491929242486437
91,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023599443391835568
92,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002336645503709696
93,0.6754087339745155,0.24650368828390917,42.89050456906063,24,0.0023541882653832476
94,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0022677922252721714
95,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002234494591977097
96,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023013929466157786
97,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024271972857123412
98,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002393324442856756
99,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.00234449215837276
100,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023907463011008643
101,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002336931158424591
102,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0021781382863350833
103,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002497143677759701
104,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024271717990924217
105,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024634816636767915
106,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002548912511189034
107,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023609650355461975
108,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002489408529795698
109,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002388537769061362
110,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024940593553458602
111,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002387457440683079
112,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002380286143515931
113,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002470793349134712
114,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002506497507038384
115,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002461410883801127
116,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023908364646764734
117,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002447080721417345
118,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024545566580823483
119,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023738563045138023
120,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002443046133648783
121,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024676120599072477
122,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0025039510786966338
123,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023864253528890367
124,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002378691065370904
125,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002527166798149181
126,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0023745870415808933
127,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024618381449330855
128,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002489317432024632
129,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002443411485715759
130,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0024873852561229275
131,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.0025123208214467415
132,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002549934367061297
133,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.00249759299954332
134,0.6758471977727725,0.24587689899385823,42.99702987789142,25,0.002482229135265132
