trial,roc_auc_mean,roc_auc_std,value,contamination,n_components
622,0.48419052433727133,0.38941433299774464,9.47761913395267,0.0044348526604410955,0.9999469302188847
623,0.4840928404349602,0.3894106293667344,9.468221106822583,0.002407283106748264,0.982223753131032
624,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004062407261493876,0.9891565084054762
625,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004208381255209293,0.9903788440251636
626,0.4840389923406685,0.3894085835891177,9.463040875155082,0.004578948266568028,0.9597118746808863
627,0.4841400594731818,0.389412413535568,9.47276459376138,0.004324183927384206,0.9749962127070603
628,0.4841551293789972,0.38941298535995433,9.474214401904286,0.004151124578423689,0.991075442969992
629,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004764185581000139,0.984668474823705
630,0.48419052433727133,0.38941433299774464,9.47761913395267,0.004417063817757165,0.9999427529644486
631,0.4841400594731818,0.389412413535568,9.47276459376138,0.00390642407215804,0.9813584508305115
632,0.4841551293789972,0.38941298535995433,9.474214401904286,0.00428435267411104,0.991483532773834
633,0.4842066761850427,0.3894149501042963,9.479172608074643,0.004023843592755063,0.9998336338596385
634,0.4840389923406685,0.3894085835891177,9.463040875155082,0.004135469730120601,0.9657717332955672
635,0.4841870466666986,0.38941420030308677,9.477284636361183,0.004531045657362682,0.9999834349676416
636,0.4841400594731818,0.389412413535568,9.47276459376138,0.004362179898314623,0.9811752173798716
637,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004839168747595021,0.9907770144823819
638,0.48369631476910396,0.3889644200748991,9.473189469420484,0.004239028797488035,0.5053162010047887
639,0.4841400594731818,0.389412413535568,9.47276459376138,0.003293376295526251,0.9752172353360801
640,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004439806293059908,0.9894858532040857
641,0.4841551293789972,0.38941298535995433,9.474214401904286,0.004678306900349231,0.9911685868171458
642,0.4841400594731818,0.389412413535568,9.47276459376138,0.004029883726062924,0.9796296512777057
643,0.4840928404349602,0.3894106293667344,9.468221106822583,0.0015032398772871613,0.9908309406011836
644,0.4840389923406685,0.3894085835891177,9.463040875155082,0.00489097667353056,0.9664631705224663
645,0.4842066761850427,0.3894149501042963,9.479172608074643,0.004236796551903907,0.9995411962785542
646,0.4842066761850427,0.3894149501042963,9.479172608074643,0.00411603221948855,0.9999163151238996
647,0.4841870466666986,0.38941420030308677,9.477284636361183,0.004487314371775766,0.9999793682976371
648,0.4840928404349602,0.3894106293667344,9.468221106822583,0.0046380104290185175,0.9817645604534119
649,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004742543905825593,0.9842864797802924
650,0.4841400594731818,0.389412413535568,9.47276459376138,0.001642111202594149,0.9725099830851404
651,0.4841551293789972,0.38941298535995433,9.474214401904286,0.004352416856244955,0.9911201733279036
652,0.48419052433727133,0.38941433299774464,9.47761913395267,0.003963368925304684,0.9999271184184447
653,0.4840928404349602,0.3894106293667344,9.468221106822583,0.00428919497752101,0.9830110565993195
654,0.4841551293789972,0.38941298535995433,9.474214401904286,0.0037352129373025944,0.9911863836229244
655,0.4841400594731818,0.389412413535568,9.47276459376138,0.004183006406894328,0.9760219378585034
656,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004934720874756315,0.9850411546219054
657,0.48418743307454,0.38941421504387247,9.47732180306675,0.0038660025513085443,0.9999986179100255
658,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004788553209571125,0.9909010757137374
659,0.484051726640633,0.38940908520373396,9.464264143689904,0.004091888368199747,0.9362830918317327
660,0.4840389923406685,0.3894085835891177,9.463040875155082,0.004580459088246528,0.9641635182041475
661,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004378730174113529,0.9903719353503733
662,0.4842066761850427,0.3894149501042963,9.479172608074643,0.004195401191544068,0.9998357109675277
663,0.4841400594731818,0.389412413535568,9.47276459376138,0.004491359556252998,0.9747568876622288
664,0.4840928404349602,0.3894106293667344,9.468221106822583,0.001997685199296638,0.982847367022852
665,0.4841551293789972,0.38941298535995433,9.474214401904286,0.004307699449437872,0.9916375900311969
666,0.4840928404349602,0.3894106293667344,9.468221106822583,0.003999703652862272,0.9827924739173926
667,0.4842066761850427,0.3894149501042963,9.479172608074643,0.004130489503841718,0.9998014628639168
668,0.4842066761850427,0.3894149501042963,9.479172608074643,0.0049923974957857085,0.9999062884488411
669,0.48369631476910396,0.3889644200748991,9.473189469420484,0.004803200013033538,0.5386960401232663
670,0.4841400594731818,0.389412413535568,9.47276459376138,0.0021569217170807867,0.970048244224019
671,0.4841551293789972,0.38941298535995433,9.474214401904286,0.004248614330368097,0.9914208786636867
672,0.4840928404349602,0.3894106293667344,9.468221106822583,0.00468303903188145,0.9833921747882756
673,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004429117253346708,0.9906145144910985
674,0.4841400594731818,0.389412413535568,9.47276459376138,0.00252679818919534,0.9735491683149621
675,0.4839733444782821,0.3893819396048685,9.459140487341362,0.0045797291639392045,0.7272938855086781
676,0.4841551293789972,0.38941298535995433,9.474214401904286,0.0034836227281257056,0.991387417408981
677,0.4840928404349602,0.3894106293667344,9.468221106822583,0.0048629313893304976,0.9830656708000428
678,0.48399942404379176,0.38940688232054893,9.459254172324282,0.004064182760809674,0.6053503965796031
679,0.4842066761850427,0.3894149501042963,9.479172608074643,0.00430749674945698,0.9998620999328073
680,0.4841551293789972,0.38941298535995433,9.474214401904286,0.004209679136630715,0.9915533349494556
681,0.48419052433727133,0.38941433299774464,9.47761913395267,0.0002292562737856241,0.9999483059340444
682,0.4840390138226503,0.3894086094882896,9.46304043343607,0.004386725995322121,0.9458348746841188
683,0.4841400594731818,0.389412413535568,9.47276459376138,0.004494537980570089,0.977438240505258
684,0.4840928404349602,0.3894106293667344,9.468221106822583,0.003944847786711108,0.9833575606137287
685,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004129547694803567,0.989967968169279
686,0.4840389923406685,0.3894085835891177,9.463040875155082,0.004699126229937261,0.9631078943237668
687,0.4840928404349602,0.3894106293667344,9.468221106822583,0.002991502883668741,0.9910087090289573
688,0.4842066761850427,0.3894149501042963,9.479172608074643,0.004270313955287569,0.9998905959144532
689,0.4841400594731818,0.389412413535568,9.47276459376138,0.004885998507973213,0.9753535416934591
690,0.4840928404349602,0.3894106293667344,9.468221106822583,0.004038937942207516,0.9840600447001303
