trial,roc_auc_mean,roc_auc_std,value,n_estimators,contamination,max_samples,max_features
0,0.5765470634324076,0.40782129022947217,16.87257732029354,220,0.0039441644958018674,0.979661465923052,0.31778791148755725
1,0.5665418347768018,0.40862069770012804,15.79211370766737,135,0.0027630822506631743,0.6233446223689967,0.49553933861422866
2,0.590853157981584,0.39815935973195526,19.269379824962872,149,0.0022246784575757094,0.5862840689768931,0.44974322790320387
3,0.5649202151534243,0.4113920179670469,15.35281971863774,218,0.003465229749341141,0.7600382320742421,0.7037620797837014
4,0.5704315699720904,0.41350976680050655,15.692180317158389,166,0.003079016120906908,0.6911136119638179,0.6911748678994911
5,0.5471549993551803,0.4042955954368771,14.285940391830321,99,0.00275739556967495,0.6367676606206789,0.6147974476067589
6,0.6256640940488295,0.3419515584968678,28.37125355519617,71,0.00211089547588081,0.8089138200208819,0.6974137987915172
7,0.6080619161322607,0.39516304196260277,21.28988741696579,106,0.0042795048925609236,0.8078405917322906,0.5322529526077365
8,0.5751353784394925,0.4147526912539704,16.038268718552207,91,0.0016106400871489198,0.8185885463178626,0.621121576849205
9,0.5890496226234778,0.421466088127196,16.75835344962818,98,0.0025186312428268206,0.925586006569552,0.6553805601956135
10,0.5746357282538174,0.4107298361339824,16.390589211983496,84,0.0028064280231552036,0.7398806899579772,0.6170211336070396
11,0.5721331247662392,0.40845406577488513,16.36790589913541,148,0.003699593374343223,0.6682504713947433,0.6420510782810893
12,0.556071346159246,0.40645069724339716,14.962064891584886,111,0.0034181606927215402,0.8728270917857912,0.5457879913947625
13,0.5513926482824267,0.4058291770390879,14.556347124333884,88,0.0024935802777549094,0.7534781610688944,0.5416562620777955
14,0.5592144310997821,0.41381229369479694,14.540213740498514,76,0.0022707169530452338,0.9910650839588566,0.40228840558407675
15,0.5986956972942673,0.34036709336669035,25.832860392757695,106,0.0025503068518428354,0.8125243663303228,0.4859502062516228
16,0.5638923258525574,0.39934469169478665,16.45476341577708,134,0.0025632259963779295,0.8692650962084172,0.5314803945185221
17,0.5736934022945066,0.4187230175857056,15.497038470880097,81,0.002121188470227678,0.7883066776525229,0.4087969073394553
18,0.5555269137191324,0.4063933152039841,14.913359851514835,75,0.0034501912676304577,0.8985415297755055,0.5139057825125422
19,0.5363827442601021,0.4012361580953933,13.514658616470882,105,0.0026601697434817323,0.8557438135609157,0.37418835217271684
20,0.5536957708637111,0.41239827367535714,14.129749718835399,52,0.0024008885432224205,0.9346890243842936,0.3981205569795609
21,0.5713535875697154,0.3998860593615895,17.146752820812594,112,0.002307563050762301,0.6999934340307694,0.49899911631249194
22,0.5473246706193627,0.40447864960212276,14.284602101723998,86,0.0026809600799037863,0.7522850509131481,0.5129215820825901
23,0.5699329093285971,0.41361886508288964,15.631404424570745,78,0.0023260535903901394,0.7726388549080805,0.42211416258994955
24,0.6144727057710555,0.436368432473383,17.810427329767254,69,0.002139134121491709,0.8403022301915934,0.5502256217360958
25,0.5631976582036852,0.4088866778770832,15.431098032660195,149,0.003604789788089452,0.38945012730226325,0.4980517132770931
26,0.567440752497039,0.38364457658426904,18.379617591276993,95,0.003147167116023175,0.5401088531260622,0.5307012380718228
27,0.5412149903295869,0.4002240784258821,14.099091190370478,56,0.001941987706721744,0.8902900882120564,0.5138220559510815
28,0.5697443190978612,0.4121693087796929,15.757501031816828,96,0.0021239385791148213,0.7159541101077864,0.5562749921504072
29,0.5965207609745461,0.4240188198855294,17.250194108901667,110,0.0003782537089767108,0.8011603149200175,0.5322188314044707
30,0.5440526718790754,0.39361033758892583,15.044233429014952,66,0.0016896253244146162,0.6877674345280151,0.4700715850624644
31,0.5784866114744448,0.39770699244030683,18.077961903413797,77,0.002785917819801027,0.9033318637143972,0.4060487377016026
32,0.6053232498057651,0.36422620711705195,24.10970426887132,17,0.0022631491313884838,0.7740254648282365,0.538724610641592
33,0.6048621361498503,0.39018663877859583,21.467549737125445,59,0.002975509044567561,0.5986339595708363,0.6126990404527914
34,0.554904230501125,0.40734978041590475,14.755445008522027,97,0.00260781583094545,0.460749914686164,0.47565948725120877
35,0.5483034095886411,0.40328654719842016,14.501686239022094,20,0.003674452128527426,0.8180371908400705,0.47376389181689194
36,0.5788607190523408,0.41909395517953413,15.97667638728067,83,0.0025098282284071296,0.9356894408624199,0.4404442110521706
37,0.5392687408494788,0.4023454960514517,13.692324479802714,90,0.001050641904892279,0.6211627908034104,0.4902146673024473
38,0.5732973011644537,0.41424394226376304,15.905335890069061,82,0.002060642782390406,0.6493761049984654,0.49347306939960267
39,0.5512818737473347,0.3909238770851793,16.035799666215546,56,0.002451348641718284,0.6531984983524293,0.47845679673293867
40,0.5679476544434283,0.41095007911065895,15.699757533276937,93,0.002986168153822491,0.7325035190297504,0.4780491246028604
41,0.562265061033196,0.40826057141140953,15.400448962178642,64,0.0024816606366695657,0.5074707306747693,0.6345492592321311
42,0.6028177939589193,0.3768015457648449,22.60162481940744,35,0.00261782818572936,0.6885581443601273,0.5059030172803536
43,0.5957661136218272,0.42422634415198346,17.153976946984372,123,0.002601042971429946,0.7913382554682851,0.42841562859261006
44,0.5832635210907594,0.4195684225772332,16.36950985135262,90,0.0024216976260412223,0.7016003385902763,0.5720813636607835
45,0.6214603576566572,0.440932681353782,18.05276763028752,68,0.0026962869385063863,0.732212224549732,0.400002090620883
46,0.5512070760005042,0.4064519764876108,14.475509951289345,120,0.002761138113110876,0.6051939791970862,0.5727746937743877
47,0.5576364875893095,0.406582671331434,15.105381625787551,128,0.0024234526350108295,0.6671764849184046,0.4799547004333639
48,0.557417408884733,0.41009971509768073,14.731769378705229,100,0.0022382648451793473,0.8043275818609779,0.3965552830046536
49,0.559636977021026,0.3913684636309641,16.82685133900619,58,0.002620051207799396,0.7727449135466329,0.3683105054881249
50,0.5595571608202875,0.4077254631445313,15.183169767575622,74,0.0032650655283492725,0.6576065444256598,0.4387827363273086
51,0.5786247775295142,0.4086395182435078,16.998525928600642,102,0.003863186405592304,0.8922633903814916,0.4247144015595611
52,0.5543257399781999,0.40680454482409845,14.752119515410145,90,0.003903035399479871,0.7451431302247502,0.5673208214091704
53,0.6121374460890697,0.43779564689633277,17.434179919273696,26,0.0026724458013748266,0.7094608956287386,0.38341090208615947
54,0.5677376277916742,0.4109814849292353,15.675614286243894,85,0.004416758775556276,0.7435206417759126,0.3365330164822359
55,0.6062746149156615,0.3688413183121977,23.74332966034638,127,0.002503322253566936,0.7429557078141531,0.5027492964925897
56,0.5361788756065952,0.40427698670285406,13.19018889037411,55,0.0035031626439571335,0.6142391912004082,0.49810033808000775
57,0.5792701385638884,0.4009592574052562,17.831088115863224,67,0.002823412529171268,0.61863126105224,0.5226095506078394
58,0.5529627614199644,0.40766920349777164,14.529355792219272,107,0.002430846360212812,0.6929041833475267,0.592195676284133
59,0.5951274293066252,0.4226411614319129,17.24862678747123,107,0.002352724961814747,0.7911589572361056,0.4535092234930431
60,0.5765581208518086,0.4118587201932912,16.46994006585174,102,0.0033644795250509767,0.7218103910856796,0.48220805399126815
61,0.55482086005617,0.40195338043489837,15.286747962127167,109,0.002376447878978436,0.8948061997776895,0.4032127361231805
62,0.6014211098638375,0.42395288692081673,17.746822294302074,41,0.002495570038410349,0.8509010100620915,0.42676021321560287
