trial,roc_auc_mean,roc_auc_std,value,contamination,n_bins,n_random_cuts
0,0.6615416870896255,0.42521593293418036,23.63257541554451,0.003192590766205952,4447,282
1,0.619688103906555,0.42356569183091214,19.612241207564292,0.0031875389677186797,2448,558
2,0.6632076361424187,0.37454335863279326,28.866427750962547,0.004138445044136873,3632,377
3,0.6348531089239079,0.44162319566651165,19.322991325739626,0.0022029352985608137,3604,148
4,0.681902446401057,0.34193436889970835,33.99680775013486,0.0016300803315328195,3744,322
5,0.6379639274433829,0.4423295358175371,19.563439162584583,0.002544956809583624,3458,755
6,0.6553861712315286,0.4136917109091288,24.169446032239982,0.0011843719528052113,3251,639
7,0.6533501322592964,0.4219629512035663,23.13871810557301,0.0018908366324552968,2319,519
8,0.631215981261232,0.41250289194545264,21.871308931577936,0.0010859421745758667,3998,324
9,0.6606721060499897,0.4053428658320744,25.53292402179153,0.0032255406050017586,4776,351
10,0.6443727795982909,0.3901616958040008,25.421108379429008,0.0034137332486085968,3018,471
11,0.6071303831116251,0.43278566116420675,17.43447219474184,0.002298379773899081,3813,163
12,0.6281815399153398,0.4190547835684443,20.91267563468955,0.0026302741426121176,4344,213
13,0.663677587389704,0.39072802001751006,27.29495673721939,0.002850782018456767,2657,260
14,0.6772882738578984,0.320828021264008,35.646025259389035,0.0015808234037132563,3994,304
15,0.6273698370315384,0.4401074680525582,18.72623689789802,0.001524356471489358,4529,347
16,0.6349098434322027,0.3996102606823718,23.529958274983088,0.0027254929729859144,2274,27
17,0.7035230690164499,0.3024597490605058,40.10633199559441,0.002609610424715522,4933,11
18,0.6602771739278771,0.4271956149905067,23.30815589373704,0.003921649342407069,4112,215
19,0.6317142685007796,0.39580556144484824,23.590870705593137,0.0015683356956309364,2722,179
20,0.6163449848580184,0.42976957575072516,18.65754091072932,0.00207200490365537,3914,444
21,0.605468905114994,0.4287231008872155,17.674580422777847,0.0006502458904481243,4074,436
22,0.6238964897264251,0.37767145477853536,24.622503494788972,0.002696195259791078,4075,342
23,0.6440797764741956,0.43768150798631994,20.639826848787564,0.001558186422625152,3145,307
24,0.6761847052832538,0.28530981823827395,39.087488704497986,0.001954030841168886,4510,15
25,0.6660406853749423,0.40808737535832496,25.795331001661737,0.0025214849480362637,3597,536
26,0.6558766097394662,0.3410320032540596,31.484460648540658,0.0022251953825677983,3412,37
27,0.6130063457273165,0.4253960919542106,18.76102537731059,0.002820295052169559,2919,493
28,0.6153829617427693,0.4221687210894675,19.321424065330177,0.0013336364789652997,4476,162
29,0.7150037270821977,0.33412410275673776,38.08796243254599,0.0018730973491273728,2836,218
30,0.6934528327247094,0.340929753260543,35.252307946416636,0.0011498166494527244,4062,208
31,0.6417715373553432,0.4149364957126021,22.683504164274108,0.0027457056361210267,1664,470
32,0.6294914632816108,0.4373875752602401,19.210388802137068,0.0029780035452331008,4481,314
33,0.6136944019143216,0.41115296031592136,20.25414415984002,0.00344359465968303,4553,108
34,0.6660714573459557,0.3735397385350754,29.253171881088036,0.0031321015089990864,1839,248
35,0.6363840255509631,0.450723403743948,18.566062180701508,0.0010634228637072475,4462,243
36,0.63033754339737,0.36890155125914814,26.14359921382219,0.0027469069824422377,222,388
37,0.6869905346061581,0.32584385742322236,36.114667718293575,0.0017851350548862745,290,267
38,0.6527991710956481,0.3698432169771418,28.295595411850634,0.0018669391756742544,4073,48
39,0.6634869961524129,0.36457725576278316,29.890974038962977,0.0015040150752204592,1134,247
40,0.6099512282348942,0.4209625402663639,18.89886879685303,0.0017063779322544145,1003,369
41,0.6426226180670588,0.37169598724865277,27.092663081840602,0.002759283944127737,3136,126
42,0.6341238019372991,0.39770101250669,23.642278943060912,0.0022498483627814265,2444,573
43,0.656901016566037,0.3669528718080017,28.994814475803537,0.0019337350139190365,2617,259
44,0.6354880406426932,0.40206637398596135,23.34216666567318,0.003063066752620072,2055,168
45,0.6029933746712252,0.4317192640005205,17.127411067070465,0.0015428174954037388,1319,281
46,0.7077794848020461,0.32664428968964626,38.113519511239986,0.001588630974621922,1872,235
47,0.6417492094080003,0.4048893367120439,23.68598726959564,0.0021122406528146175,1531,282
48,0.626444552907305,0.44525896879595567,18.118558411134938,0.0016178313771564032,1657,275
49,0.6011932593131696,0.4148636252365354,18.632963407663418,0.0014479541525051765,476,250
50,0.6563353239608006,0.42242497093123266,23.391035302956798,0.0010045101424966515,1781,78
51,0.6614751170807917,0.4232823031307131,23.819281395007856,0.0015409634227275544,3010,219
52,0.6357406350073992,0.41460777015023004,22.113286485716916,0.00177417508782002,1605,439
53,0.6380810117634853,0.3973984985355441,24.068251322794122,0.0007452607898903997,840,576
54,0.62747089698579,0.3667916756265284,26.067922135926153,0.0016023403387575494,2615,62
55,0.623337493269365,0.42786526130744273,19.54722319619223,0.0021321648575588366,895,368
56,0.6313575765523683,0.39644227069381444,23.49153058585539,0.002145337431195025,850,300
57,0.6262752177144195,0.4351487314003807,19.112648631403882,0.000987198712070499,2129,132
58,0.6730472067161686,0.37106865557471547,30.197855114145312,0.0013156559484740976,2375,449
59,0.6299192935482315,0.44623295485891035,18.368633868932115,0.0013813406010706722,2891,253
60,0.6259602550531554,0.41726467090086555,20.86955841522899,0.0019299427009716956,3003,249
61,0.6237018893450327,0.4291698520034952,19.453203734153746,0.0012041141916521677,2464,471
62,0.6424426397886985,0.39357900854417766,24.88636312445209,0.0010391190720667924,1384,278
63,0.63870915525483,0.3911459282167056,24.75632270381244,0.0010029097051486727,3063,295
64,0.66949757207749,0.3699117437324204,29.958582834506963,0.0020561671110313935,1535,467
65,0.6415171570723244,0.42481728292031135,21.6699874152013,0.0010168316338710073,2545,250
66,0.6519738471861564,0.44583346788213124,20.614037930402514,0.0018198940808593243,3945,447
67,0.6291348326331009,0.4208070503740288,20.832778225907205,0.0007285112063138112,2055,541
68,0.677299607760522,0.37681601268340553,30.04835950771165,0.0005514275151191572,1551,285
69,0.6819548494754372,0.3192393090954894,36.271554037994775,0.0005842311622250472,532,317
70,0.6468107500790334,0.38484149721933814,26.19692528596953,0.0012867629194224764,1445,380
71,0.6164866108241954,0.4374793958110347,17.900721501316074,0.00019163933237677504,1867,156
72,0.6337926156235225,0.3967361514048842,23.70564642186383,0.0004032224596083689,985,212
73,0.6655212176792844,0.38701612393399143,27.8505093745293,0.00035500992618570055,2877,475
74,0.6268455526866771,0.4311660847658186,19.56794679208585,0.00012559096941120945,471,194
75,0.6606110151515938,0.3740258221582646,28.658519299332923,0.0002882918427270387,1088,485
76,0.6572062061768805,0.39500541535158257,26.220079082529796,0.00012434779745263894,845,264
77,0.6510694045224567,0.3920642408058868,25.900516371656984,0.001150028568389405,1174,449
78,0.6462148712899136,0.3972477527875001,24.896711850241353,0.00017001567701218194,3114,545
79,0.6445713287806009,0.42805559519946573,21.651573358113513,0.0009752902203213193,4057,404
80,0.6780307851556074,0.38898764250675943,28.9043142648848,0.0005727900564165121,3787,368
81,0.6270170759130854,0.4227311471804182,20.42859287326672,0.0009348721400680315,648,135
82,0.619217817578007,0.41545918398948,20.375863358852698,0.0007561842360477943,901,454
83,0.6527330020563636,0.35954476087029646,29.318824118606717,0.00030238735298240474,2713,296
84,0.6681711989558359,0.37946420701594424,28.870699193989164,0.0005070658758572815,4005,414
85,0.6405638277202338,0.3731149374927879,26.744889022744587,0.0002536397504164762,3745,228
86,0.6519574579353081,0.4107710665745869,24.118639136072122,0.0007041505139157682,2050,527
87,0.6696066691925151,0.35508538451485694,31.452128467765817,0.0004494184346377938,1364,617
88,0.6369264186991971,0.4418716677439198,19.50547509552773,0.0004912825712548256,3836,144
89,0.6143257301630204,0.43014509022141956,18.418063994160082,0.0010104951243445767,2629,505
90,0.619189752314275,0.44099566775022253,17.819408456405245,0.000556543511631566,4363,78
91,0.6207878518821054,0.41827281686976303,20.251503501234236,0.0004388161031622427,2358,566
