trial,roc_auc_mean,roc_auc_std,value,contamination,n_components
0,0.4839733444782821,0.3893819396048685,9.459140487341362,0.0029462537247574704,0.7414472020986207
1,0.48411699092504895,0.3894115404620688,9.470545046298017,0.00180782430410558,0.8929926085182841
2,0.48399942404379176,0.38940688232054893,9.459254172324282,0.001566264384204037,0.696143001107417
3,0.48399942404379176,0.38940688232054893,9.459254172324282,0.0017672197722853197,0.6309828350109397
4,0.48399407459069305,0.38940693450451874,9.45871400861743,0.0030962379396483803,0.793953343104471
5,0.484051726640633,0.38940908520373396,9.464264143689904,0.002483969982066184,0.9056006424220119
6,0.4839733444782821,0.3893819396048685,9.459140487341362,0.002910177044492788,0.7527789609336939
7,0.4839733444782821,0.3893819396048685,9.459140487341362,0.0029317737335683163,0.7240872473170231
8,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0018640936000591838,0.8805660650048476
9,0.4840928404349602,0.3894106293667344,9.468221106822583,0.0006820944424962792,0.9874053362834858
10,0.4839733444782821,0.3893819396048685,9.459140487341362,0.0022119244749609014,0.729319484488893
11,0.48404260741557553,0.38940874387694807,9.463386353862745,0.00043012697764069206,0.8012829732143767
12,0.484051726640633,0.38940908520373396,9.464264143689904,0.0016389855104811631,0.9324434712260834
13,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0004163102737716129,0.852202169927885
14,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0013281576509523332,0.901050976373166
15,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0017498240678982273,0.8360042332969847
16,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0004070981972716584,0.89626970331117
17,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0015214563197220076,0.8602782405011314
18,0.4841400594731818,0.389412413535568,9.47276459376138,0.0013679080116529951,0.9723013932198226
19,0.484051726640633,0.38940908520373396,9.464264143689904,0.0008509369550381271,0.9057126535435224
20,0.484051726640633,0.38940908520373396,9.464264143689904,0.0011928475032636312,0.9329121607475064
21,0.484051726640633,0.38940908520373396,9.464264143689904,0.001369310235724447,0.9333602162669409
22,0.4840389923406685,0.3894085835891177,9.463040875155082,0.0012794663288424974,0.9642997351748257
23,0.484051726640633,0.38940908520373396,9.464264143689904,0.0018793661974896357,0.912766533826914
24,0.4839733444782821,0.3893819396048685,9.459140487341362,0.002121247757403747,0.777824995758627
25,0.4839733444782821,0.3893819396048685,9.459140487341362,0.0010804148995019202,0.7828488165040345
26,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0013622027226532856,0.817750705956193
27,0.484051726640633,0.38940908520373396,9.464264143689904,0.000813289310962754,0.9144106143312833
28,0.484051726640633,0.38940908520373396,9.464264143689904,0.00019618810834991598,0.9219948071852266
29,0.4840928404349602,0.3894106293667344,9.468221106822583,0.0008649218675711943,0.9840033889468709
30,0.484051726640633,0.38940908520373396,9.464264143689904,0.0009543962329340978,0.9173797805931267
31,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0010244563898465626,0.8073640792641876
32,0.484051726640633,0.38940908520373396,9.464264143689904,0.0010202433229573654,0.9131732589997343
33,0.4840928404349602,0.3894106293667344,9.468221106822583,0.0007705747142601781,0.9881297796403536
34,0.4841400594731818,0.389412413535568,9.47276459376138,0.0007734694556275786,0.9816952890296171
35,0.484051726640633,0.38940908520373396,9.464264143689904,0.0011743156871402754,0.9342450883026575
36,0.4841400594731818,0.389412413535568,9.47276459376138,0.0007108850751794064,0.9693042223226427
37,0.4840389923406685,0.3894085835891177,9.463040875155082,0.0007270975885958151,0.9663109700583694
38,0.484051726640633,0.38940908520373396,9.464264143689904,0.000723501406024409,0.926443289985158
39,0.4841400594731818,0.389412413535568,9.47276459376138,0.001443745984842607,0.9725722085490267
40,0.4842066761850427,0.3894149501042963,9.479172608074643,0.0011015513652497,0.9997535360621771
41,0.4841400594731818,0.389412413535568,9.47276459376138,0.0008297852359393249,0.972230083470939
42,0.4840928404349602,0.3894106293667344,9.468221106822583,0.0004226843094140744,0.9893789869882861
43,0.4840389923406685,0.3894085835891177,9.463040875155082,0.0015986627924181188,0.9649483436709354
44,0.48411699092504895,0.3894115404620688,9.470545046298017,0.001327682488216854,0.8712200533697834
45,0.4840928404349602,0.3894106293667344,9.468221106822583,0.0007631656579982354,0.9883844526915891
46,0.4840389923406685,0.3894085835891177,9.463040875155082,0.0014403183345542525,0.9656854015651023
47,0.4841400594731818,0.389412413535568,9.47276459376138,0.0013558522104507955,0.9773331689994169
48,0.4840390138226503,0.3894086094882896,9.46304043343607,0.0020226565178762526,0.9390000219925847
49,0.484051726640633,0.38940908520373396,9.464264143689904,0.0021525589810518463,0.9174167606191069
50,0.484051726640633,0.38940908520373396,9.464264143689904,0.0009671336865938698,0.9118917620221076
51,0.484051726640633,0.38940908520373396,9.464264143689904,0.001051363603064637,0.9351203364178
52,0.4840390138226503,0.3894086094882896,9.46304043343607,0.0014181528668721652,0.9459294455504214
53,0.484051726640633,0.38940908520373396,9.464264143689904,0.00024882240988986033,0.9356928328247069
54,0.4840390138226503,0.3894086094882896,9.46304043343607,0.0016747423661751233,0.9467751373368869
55,0.4840389923406685,0.3894085835891177,9.463040875155082,0.0014158023634246778,0.948109007045093
56,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0027921973735671644,0.8557950455277905
57,0.484051726640633,0.38940908520373396,9.464264143689904,0.001048362093329325,0.913476353145414
58,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0018396992379042536,0.8719604643673013
59,0.4840390138226503,0.3894086094882896,9.46304043343607,0.0017300716053737413,0.9394979656475755
60,0.4840389923406685,0.3894085835891177,9.463040875155082,0.0009585848330491232,0.9656839925238223
61,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0011929181791269737,0.8702448312271511
62,0.48404260741557553,0.38940874387694807,9.463386353862745,0.002187990581338748,0.845241744848316
63,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0016764537530224285,0.8042741422536943
64,0.48411699092504895,0.3894115404620688,9.470545046298017,0.001850966752370974,0.8630463961480852
65,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0016277520306829027,0.8993860603608663
66,0.4840928404349602,0.3894106293667344,9.468221106822583,0.0009709337356880112,0.9864832704103922
67,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0010365653887791258,0.8963793560644222
68,0.484051726640633,0.38940908520373396,9.464264143689904,0.0010431307177422822,0.911875194192824
69,0.48411699092504895,0.3894115404620688,9.470545046298017,0.002304768028315018,0.8688277857610648
70,0.48404260741557553,0.38940874387694807,9.463386353862745,0.0013594695977401673,0.825696053803362
71,0.48411699092504895,0.3894115404620688,9.470545046298017,0.001497261478238684,0.8921911915704186
72,0.48399407459069305,0.38940693450451874,9.45871400861743,0.0018032057130096895,0.7932451702300335
73,0.48411699092504895,0.3894115404620688,9.470545046298017,0.0008459160590367557,0.8968750600670337
