trial,roc_auc_mean,roc_auc_std,value,n_neighbors,contamination
0,0.792186189277816,0.1478463796279634,64.43398096498527,4,0.0014063792015546674
1,0.9257749942804852,0.014413702609255672,91.13612916712295,13,0.0035802851650932315
2,0.9246596888583848,0.013341783985369645,91.13179048730152,12,0.002313731897214558
3,0.9242188095782812,0.014414899204104308,90.98039103741769,16,0.0010695279413360887
4,0.8079363036681156,0.11814797768336337,68.97883259847522,5,0.0010459682135049821
5,0.8079363036681156,0.11814797768336337,68.97883259847522,5,0.0012828177671100154
6,0.9224362274079159,0.01359553420310117,90.88406932048146,17,0.0007665809493965072
7,0.8328543239533287,0.0750823740571625,75.77719498961662,6,0.0003523592278024137
8,0.9224362274079159,0.01359553420310117,90.88406932048146,17,0.0037224054986795927
9,0.920889575230687,0.014942748664724502,90.59468265659626,19,0.00027216998276238704
10,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004848912370326373
11,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004883652973574719
12,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004902092954835683
13,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004927909373524019
14,0.9248932357202776,0.014643296872677696,91.02499388475998,22,0.004140091703479313
15,0.9220001143902996,0.014650079468751043,90.73500349215486,21,0.0028926389605704803
16,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004339111221191165
17,0.921559235110196,0.020880448989515032,90.0678786120681,9,0.0030653086153048462
18,0.9220001143902996,0.014650079468751043,90.73500349215486,21,0.0044051235940059524
19,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.0019946273926231433
20,0.9207716102341189,0.013294189615100241,90.74774206190187,20,0.0036664786848993143
21,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004835105953347152
22,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004949619226525568
23,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004468642993836168
24,0.920889575230687,0.014942748664724502,90.59468265659626,19,0.003960008847765372
25,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004630253039807828
26,0.9240090940288264,0.02250518996050705,90.15039040683193,10,0.0032183180379815523
27,0.9248932357202776,0.014643296872677696,91.02499388475998,22,0.0049956893499493804
28,0.9242164264470373,0.013622790331164224,91.0593636115873,15,0.004061857564327379
29,0.920889575230687,0.014942748664724502,90.59468265659626,19,0.0019319014527740528
30,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.003417799595143708
31,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0043727249534292675
32,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004600008456006711
33,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004210546757540951
34,0.9220001143902996,0.014650079468751043,90.73500349215486,21,0.004686070326149164
35,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0038939260945986083
36,0.9257749942804852,0.014413702609255672,91.13612916712295,13,0.0025503223492258716
37,0.9248932357202776,0.014643296872677696,91.02499388475998,22,0.004372671488179334
38,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0047027846646941
39,0.9221037805994051,0.013297071853297572,90.88067087461076,18,0.004961535857064207
40,0.9207716102341189,0.013294189615100241,90.74774206190187,20,0.0034482744175460467
41,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004770535560545191
42,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004260974376888938
43,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004551295795905019
44,0.9248932357202776,0.014643296872677696,91.02499388475998,22,0.004753515243018694
45,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.003931983621682189
46,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0049721500518699595
47,0.8908883360024403,0.0497212629418546,84.11670730605857,7,0.0042023310324975
48,0.9220001143902996,0.014650079468751043,90.73500349215486,21,0.004505072884501495
49,0.9242188095782812,0.014414899204104308,90.98039103741769,16,0.003718166747357709
50,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004796678798611484
51,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004449007144731085
52,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004523418037510701
53,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0048076046837814135
54,0.8211126363151071,0.12816606008664186,69.29465762284653,3,0.004308750506953433
55,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0040720862203364756
56,0.9248932357202776,0.014643296872677696,91.02499388475998,22,0.004987011421919671
57,0.9207716102341189,0.013294189615100241,90.74774206190187,20,0.00271482148533125
58,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.0013765005476432317
59,0.9240090940288264,0.02250518996050705,90.15039040683193,10,0.000577278837146809
60,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0017111635113325582
61,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0033584874915819386
62,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0046424114210065585
63,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004842180875515281
64,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0038474373219552944
65,0.9248932357202776,0.014643296872677696,91.02499388475998,22,0.004090985615488722
66,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0031013941108112555
67,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.00438299973050501
68,0.9248932357202776,0.014643296872677696,91.02499388475998,22,0.003499970666619301
69,0.9220001143902996,0.014650079468751043,90.73500349215486,21,0.004608017807279808
70,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004825100625143182
71,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004400468323943821
72,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0023703536146359246
73,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004285742951471714
74,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004664733537469607
75,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004495722680921758
76,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0048727516073617805
77,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.003820444600344897
78,0.9237731640356898,0.014678497558147754,90.9094666477542,14,0.003637233980086854
79,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004173280391264872
80,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004017170380078667
81,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0047581765480373805
82,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004663233571790967
83,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004935476544251472
84,0.9248932357202776,0.014643296872677696,91.02499388475998,22,0.004521862785306576
85,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0043410496195534914
86,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004697894804332044
87,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004881147773150789
88,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004564348264270779
89,0.9057876725387021,0.03588341435092272,86.99042581877794,8,0.004998490888520477
90,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004217269033663793
91,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004720553842454118
92,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004434830085995896
93,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.0047767213702759334
94,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004869966834564879
95,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004521217652411224
96,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004610313268647926
97,0.9246596888583848,0.013341783985369645,91.13179048730152,12,0.0028097859273530784
98,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004769335432031887
99,0.8079363036681156,0.11814797768336337,68.97883259847522,5,0.0044363812754914965
100,0.9220001143902996,0.014650079468751043,90.73500349215486,21,0.0041250777003993
101,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.00499948345354568
102,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004874341483639532
103,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004703317003513562
104,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004881777080223904
105,0.9248932357202776,0.014643296872677696,91.02499388475998,22,0.004294346994396087
106,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004574980214634129
107,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.0010600849949962015
108,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004927811947393471
109,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.003280390653197282
110,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004794419441883692
111,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004460213095330301
112,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.003988608989266795
113,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004623566392704443
114,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004375248213312078
115,0.9293377754899718,0.014538916732306034,91.47988587576657,25,0.004707585750971254
116,0.9251148669259514,0.014565541027464353,91.0549325898487,23,0.004239431106212645
117,0.9273383283764204,0.014675500604155095,91.26628277722652,24,0.004994977579667874
