trial,roc_auc_mean,roc_auc_std,value,contamination,n_bins,n_random_cuts
0,0.19117240524670176,0.09049912322689459,10.067328201980716,0.0025639856809947857,3036,1000
1,0.1695347651185846,0.06943480470874402,10.009996040984056,0.00490924499719893,4359,91
2,0.16973375657744225,0.08694493443172857,8.278882214571368,0.002204328631205318,3462,379
3,0.19694434911919467,0.09913099739935596,9.781335171983871,0.004374128047860053,4298,745
4,0.19668697094486384,0.09604840123369654,10.06385697111673,0.004389402372007555,2630,540
5,0.16713376039045222,0.05758023180159636,10.955352858885586,0.0010340431125795294,2838,88
6,0.5128403111416152,0.12068234389651815,39.21579672450971,0.00045151647700244,76,706
7,0.21267301532830016,0.07699477699147589,13.567823833682427,0.0033297331336789803,944,817
8,0.1989271143140395,0.08735739521311976,11.156971910091974,0.0010598298422751825,1621,422
9,0.23602055212384654,0.07837076150954767,15.764979061429887,0.0024215034450718958,562,560
10,0.5551170594066956,0.1248226987718433,43.029436063485235,0.00016106779272437137,65,755
11,0.5026643407305728,0.1376421024097799,36.50222383207928,0.0005039231202694299,77,753
12,0.20115295889575233,0.08994601465871922,11.120694423703311,0.00016979122295839277,1662,922
13,0.2071346183177,0.08158296254912244,12.555165576857757,0.0014347485662020946,1326,650
14,0.2876796880957828,0.10055184259307177,18.712784550271106,0.0016053381602361355,193,281
15,0.1938808339052848,0.08023781067911459,11.36430232261702,0.00013798378874315493,2069,631
16,0.22375934187447574,0.07596112026051971,14.779822161395604,0.0008777950815414592,819,844
17,0.5849657782353389,0.14055081154612395,44.4414966689215,0.0031037926972561376,56,677
18,0.20341216731487832,0.0990600605347737,10.435210678010462,0.0032240560592365344,2070,231
19,0.20358375276443227,0.08948062614454069,11.410312661989158,0.0034428619551691957,1103,490
20,0.19178963623884693,0.0927491920660921,9.904044417275482,0.0028843314329430802,4912,855
21,0.24045794249980937,0.08038850486268612,16.006943763712325,0.0018799959887687784,433,683
22,0.5722231754747197,0.12280136033576931,44.94218151389504,0.0007025004098007181,64,717
23,0.23665923129718602,0.08743192101713994,14.922731028004609,0.0037095175118900484,554,587
24,0.22575640585678336,0.08305914499979729,14.269726085698608,0.0006902289477490741,712,796
25,0.21401948448104935,0.08000142181375226,13.40180626672971,0.0012907102709095585,1434,930
26,0.24983556394417752,0.09012990952502434,15.97056544191532,0.0020957757312759975,333,468
27,0.2036075840768703,0.08755961421609215,11.604796986077815,0.0017405544766603486,1025,624
28,0.19607927247769386,0.10459639604987928,9.148287642781458,0.0027983311553025393,2067,731
29,0.18067471211774574,0.0856475624829523,9.502714963479345,0.0026372735661791516,3503,966
30,0.23645189887897508,0.08516719656201412,15.128470231696095,0.0038684747404506997,446,859
31,0.5549240257759476,0.13071638501332572,42.42076407626219,0.0004751316947297477,58,705
32,0.3780170441546557,0.14246832191999154,23.55487222346642,0.00041162701999205176,103,775
33,0.2251129604209563,0.07912712883047307,14.598583159048323,0.0007262093722403716,747,676
34,0.26004728132387706,0.09243807499924672,16.760920632463034,0.0011476212616481156,372,587
35,0.21956026462289333,0.07883841535561553,14.072184926727779,0.0002480338830307356,1196,884
36,0.22243670403416457,0.08064025994746515,14.179644408669942,0.0007447002427394736,734,714
37,0.20178448867536034,0.0842330143191741,11.755147435618623,0.004875571882764897,3504,778
38,0.2925055288644856,0.09681857153998794,19.56869573244977,0.00043941618702344917,224,550
39,0.18110844200411802,0.08440029630020048,9.670814570391755,0.0022282520526048038,4089,337
40,0.2224653016090902,0.08838591675343853,13.407938485565168,0.0030735379104217604,550,519
41,0.32863379852055213,0.1203632433238825,20.827055519666963,0.0005480510047135965,148,710
42,0.3277806375352703,0.10692376788728562,22.08568696479847,0.0009397181224240834,146,811
43,0.20911261725005717,0.08382060134121706,12.529201590884009,0.00036462825696505777,919,668
44,0.2426957027377412,0.08832778880139298,15.436791393634818,0.00012810399572692682,395,742
45,0.38619833371463436,0.16595904719437682,22.023928652025752,0.0013629984856152624,100,608
46,0.19522372836116827,0.08307176146681106,11.215196689435722,0.0006415579261417957,3048,428
47,0.5658125524288874,0.1288297539568591,43.698279847202826,0.0010888197866626562,63,701
48,0.230863456112255,0.07242596303680619,15.84374930754488,0.001140298434920107,636,655
49,0.18867607526881722,0.09397771661456995,9.469835865424727,0.0009374943502754392,1626,122
50,0.26651033325707313,0.09213429912073139,17.43760341363417,0.004087778211006897,306,901
51,0.26225882711812704,0.09612715993778098,16.613166718034606,0.00030030709288199613,317,689
52,0.5936761229314421,0.14107417690210589,45.26019460293362,0.0008178980533314669,55,820
53,0.2388874590101426,0.08349236851820709,15.539509049193551,0.0015797760216953011,544,824
54,0.21599033401967516,0.07164528635201536,14.43450476676598,0.0008176815415172674,917,774
55,0.5123041066117593,0.14817362965579658,36.41304769559627,0.001229803973481523,69,986
56,0.2740171966750553,0.09563176544689658,17.83854312281587,0.0006065355496367418,291,760
57,0.23709772744604593,0.08867011748041866,14.842760996562726,0.003561321284795088,541,820
58,0.21359528711965226,0.08717493803181217,12.642034908784009,0.0010269166127312944,1274,731
59,0.5923368031724242,0.143454450361694,44.88823528107302,0.0014649936427567694,60,594
60,0.22397858994890565,0.06959129182367534,15.438729812523032,0.001963647866617567,807,578
61,0.5658268512163502,0.13081798308929768,43.500886812705254,0.0005258504659443677,63,628
62,0.2605024593914436,0.091618128605335,16.888433078610863,0.0014928714341157583,292,618
63,0.24157086479066578,0.08778440730307882,15.378645748758696,0.0008644401782101636,454,523
64,0.1973208838557157,0.08425743453131397,11.306344932440172,0.0030529082414954174,2342,641
65,0.26517577976054296,0.09611791640617622,16.905786335436673,0.0025393896662945416,223,481
66,0.587870815221536,0.137932265174689,44.99385500468469,0.0017476132518523758,54,641
67,0.23129718599862734,0.08080533878101964,15.049184721760769,0.002269138110009932,626,566
68,0.5448243155647068,0.15804003209651185,38.678428346819494,0.0016073015154621675,55,606
69,0.238651529017006,0.08460139793773758,15.405013107926843,0.0017286067200847,449,656
70,0.21653964577137189,0.08464937007611895,13.189027569525294,0.001234192957162641,1108,447
71,0.2823081102722489,0.09436748057121988,18.7940629701029,0.00010307420391477365,228,691
72,0.28586374208800425,0.10255413646580114,18.330960562220312,0.0010094463938540212,215,740
73,0.5864647677876916,0.1213405601509804,46.51242076367112,0.0002669057762240552,52,792
74,0.25510705025547165,0.08029209960354582,17.481495065192583,0.0007680400792654551,387,797
75,0.2281967322504385,0.07291609204758548,15.528064020285301,0.0013659372954002431,665,873
76,0.6164612407534508,0.12623058417383157,49.023065657961915,0.0005909858107295879,51,542
77,0.19895094562647753,0.09223237649332111,10.671856913315642,0.00027877718305732875,1850,842
78,0.23555107526881722,0.07988956682693647,15.566150844188076,0.0011180548659653323,443,521
79,0.1805007435369481,0.09995637049121699,8.05443730457311,0.0019414647990183566,4933,938
80,0.28923348966674295,0.10538066351557343,18.385282615116953,0.0006381610341385383,181,543
81,0.2914974643483566,0.10767894668488374,18.381851766347285,0.0005118757287992138,175,623
82,0.5119299550064821,0.1658143647682085,34.61155902382736,0.0008467593062448126,73,672
83,0.2644656066498894,0.09062660538182313,17.383900126806626,0.0003938597423001974,311,591
84,0.23509828033249447,0.0867901178059292,14.830816252656525,0.0006510810024094104,512,710
85,0.5783335239838329,0.14095468922615972,43.73788347576731,0.0002582159787139573,50,641
86,0.25842675207809046,0.08744657259271342,17.098017948537702,0.00020468251113683292,358,366
87,0.21800884618317704,0.08226284598644838,13.574600019672866,0.003247823013555777,824,761
88,0.27567108975825516,0.10359603605147855,17.207505370677662,0.0003524574797481397,213,651
89,0.2235234118813391,0.08518164102273842,13.834177085860066,0.002845439056969944,629,701
90,0.1931384885228399,0.09494289793240689,9.819559059043302,0.000995003094833163,3874,788
91,0.330797681689926,0.12672384874961592,20.40738329403101,0.0005384596219593259,130,572
92,0.1868946846640738,0.08181755218762975,10.507713247644405,0.0007472580400130654,4747,642
93,0.6091783916723862,0.12747705557428352,48.170133609810264,0.0004263717502314639,50,600
94,0.26825478532753755,0.09237504756565992,17.587973776187763,0.00029632096404423396,272,722
95,0.6404164760161671,0.1122449102879738,52.817156572819336,0.0004291560914610681,50,499
96,0.25828853046594985,0.08792967343196244,17.03588570339874,0.00041839085866278767,382,509
97,0.1915846869518798,0.08449490029776682,10.708978665411298,0.00017763714207899242,3108,539
98,0.28720544497826583,0.10355352074632099,18.365192423194486,0.0004698837765898223,210,487
99,0.23402587127278274,0.08366860766749161,15.035726360529111,0.0023815024574597846,502,556
100,0.655775756882483,0.1173911867835678,53.83845700989151,0.0006100068486392834,51,460
101,0.3173758865248227,0.11729463826786807,20.00812482569546,0.000619804719329134,152,456
102,0.24648964767787693,0.0942317654906499,15.225788218722702,0.0002597824233107579,333,599
103,0.3002173415694349,0.1143142991886754,18.59030423807595,0.0007311842137529205,168,433
104,0.6173477655761458,0.11859944240941699,49.87483231667288,0.002674594082821496,51,371
105,0.25423959048272704,0.10038968755567637,15.384990292705067,0.0029939498905763454,308,329
106,0.2382154159993899,0.08526878831027117,15.29466276891187,0.002576449302238396,426,398
107,0.5921008731792877,0.1385814418652056,45.35194313140821,0.0008862633031978047,52,406
108,0.19709686951879812,0.0880120584476736,10.908481107112452,0.000810682604984586,2763,325
109,0.2569563601006635,0.09704821165294045,15.990814844772302,0.0027207013631418402,274,380
110,0.24202842598947613,0.07485988873420496,16.716853725527116,0.002099306509537351,585,286
111,0.2932800465187219,0.10402229219896665,18.925775431975527,0.0005813120117838381,186,393
112,0.3650099138259742,0.12587550037292167,23.91344134530525,0.003384590504053313,121,463
113,0.5026381262868909,0.1266222013108897,37.601592497600116,0.0009624342175235436,75,419
114,0.2753874971402425,0.10352969053878885,17.185780660145365,0.0008983620631513394,249,479
115,0.25307900556699453,0.07177732511974999,18.130168044724453,0.0018056496653041964,366,359
116,0.24597727446045906,0.08320484376167098,16.277243069878807,0.001205992852190529,483,497
117,0.3077861663997559,0.11878273779106713,18.90034286086888,0.0004312031697416865,163,530
118,0.5659698390909784,0.12324311691405931,44.27267221769191,0.0024401461391016337,59,412
119,0.6247998169755205,0.14923421333009332,47.55656036454271,0.003139692902893527,51,302
120,0.2224510028216274,0.08451047772492457,13.794052509670285,0.0007178510151809269,737,239
121,0.5899417562724015,0.14979280105670384,44.01489552156977,0.003217101610115559,52,297
122,0.2683453443148021,0.0816654087890833,18.667993552571883,0.003541922146937499,266,62
123,0.30239075726378406,0.12379364663165947,17.85971106321246,0.0030973814319931333,168,251
124,0.23928305879661407,0.09230888268386085,14.69741761127532,0.002932126371138347,375,174
125,0.26939630519331964,0.09618602012322824,17.32102850700914,0.002690151356207036,261,440
126,0.6260009151223976,0.1285425153984565,49.745839972394116,0.002780494975951824,53,311
127,0.30233356211393275,0.11364040791000847,18.86931542039243,0.00035360471923118815,188,342
128,0.22132139861206435,0.08609327070231136,13.522812790975298,0.0024958803659287446,1511,263
129,0.25039798291771526,0.08983884967032758,16.055913324738768,0.0013621978101651649,396,349
130,0.5907806184702203,0.10621646971188566,48.45641487583347,0.000569143190841765,60,308
131,0.5454081827194387,0.1420584264974911,40.334975622194754,0.000545122311465992,58,313
132,0.3255929230534584,0.1162715399319473,20.932138312151107,0.000671367369160251,153,294
133,0.27184616411194995,0.09341632955612213,17.842983455582782,0.0008002905431392135,262,205
134,0.3133531609852818,0.1161102361680057,19.724292481727613,0.002785999558945483,155,834
135,0.6189277815907878,0.12222353028878083,49.67042513020069,0.0004813389010402578,50,271
136,0.25514518035537254,0.08630516554325263,16.884001481211993,0.0005187480512496791,329,206
137,0.2295765652406009,0.08165781788074235,14.791874735985855,0.0023252920013645227,455,384
138,0.5551099100129643,0.12282036724599651,43.228954276696776,0.00010876137189217176,55,319
139,0.2649112521924808,0.08907533911745903,17.58359130750218,0.0004334602784434193,249,272
140,0.23649956150385112,0.084705218459031,15.179434304482012,0.0006100555304924858,556,369
141,0.32455626096240375,0.12408348120996505,20.047277975243873,0.0003672668202011239,136,582
142,0.3452799702585221,0.14151324262988127,20.376672762864082,0.0009079456193896533,130,298
143,0.2884923358499199,0.09729096471488054,19.120137113503937,0.001086382634339575,219,807
144,0.6036638259742241,0.14422045369893804,45.94433722752861,0.0006513637670530986,52,312
145,0.5455368718066042,0.12096445034325465,42.45724214633495,0.0006831659881428782,55,227
146,0.2728995081217113,0.10971254118653144,16.318696693517985,0.00048778228065107847,314,311
147,0.21249666361625866,0.08532482506855597,12.71718385477027,0.0047114215080179805,2426,272
148,0.28805145656981623,0.10509619490346422,18.295526166635202,0.00022043202772541233,209,404
149,0.6085683100739724,0.1444531838697574,46.411512620421504,0.0003312570646455575,50,346
150,0.2568634179821551,0.08835288171012112,16.8510536272034,0.0003322244044699516,372,335
151,0.5608627888355068,0.1614691259580644,39.939366287744235,0.000800251273139304,56,307
152,0.3381472584458171,0.13264652603316765,20.550073241264947,0.0005838967621468639,132,343
153,0.26825716845878134,0.1003918058410769,16.786536261770443,0.00048664243342946817,246,372
154,0.2943405399222146,0.09718908663501025,19.715145328720435,0.00021696585310845522,167,356
155,0.2684859490581865,0.09676280334409358,17.17231457140929,0.0006895403596837865,312,270
156,0.3335478151452757,0.10875078191744193,22.47970332278338,0.0004009407331299246,142,469
157,0.24047939068100357,0.0828233748585794,15.765601582242416,0.00031223040067738985,460,864
158,0.2711479066575155,0.08931196403267723,18.183594262483826,0.000578187614108622,241,900
159,0.5818295775184931,0.13010834408916364,45.17212334293295,0.0026156351066275044,50,319
160,0.6281647982917716,0.1434508682435183,48.47139300482534,0.0028147562768702705,50,321
161,0.32487560054907344,0.10213633042880679,22.273927012026665,0.0026345953719448365,138,323
162,0.6345658888126287,0.11935506796079015,51.52108208518384,0.002880931297384474,52,278
163,0.5426556661328452,0.12285457587994565,41.980109025289956,0.002916865179901212,54,289
164,0.27338566689544724,0.08965684602435155,18.37288208710957,0.003157914316500846,231,239
165,0.6390151948448105,0.11370228867131235,52.53129061734981,0.0029626337981826915,52,253
166,0.2551737779302982,0.08594563762840966,16.922814030188853,0.0030256189442976335,341,218
167,0.30843914436055825,0.1074348642566714,20.100428010388686,0.002915998110535294,162,256
168,0.17137692557004502,0.08944663338865545,8.193029218138957,0.0027803998777180504,3308,171
169,0.27601664378860674,0.10202203542330622,17.39946083653005,0.002814505482670636,238,279
170,0.33385047281323876,0.1215857204126935,21.226475240054526,0.0033108523118294837,142,347
171,0.4987154922595898,0.14922965829197882,34.948583396761094,0.0027081421382053037,76,312
172,0.57676542362541,0.13921344491968743,43.755197870572246,0.002620880139353922,57,250
173,0.5955969267139479,0.12883749851115675,46.67594282027912,0.002958782577913672,53,293
174,0.27265404560359946,0.09518004143442631,17.747400416917316,0.002920034262479383,295,292
175,0.28967436894684667,0.10426007400922538,18.54142949376213,0.0031478539726021077,184,503
176,0.3276376496606421,0.12210842198867633,20.55292276719658,0.003002371943150796,166,276
177,0.216283459162663,0.08021498187796954,13.606847728469345,0.0028409485750130734,1820,336
178,0.24510743155647066,0.0910511622415963,15.405626931487436,0.0030803414060069987,389,388
179,0.2667295813315031,0.09621639262197161,17.051318870953146,0.0027566922703289296,278,361
180,0.5649522420498742,0.13390048310579852,43.105175894407566,0.00249420507216784,55,428
181,0.6272139289254938,0.13106259986858004,49.615132905691375,0.0026075451507517945,52,306
182,0.316691927857851,0.12259719615543889,19.40947317024121,0.0028431099225255043,153,306
183,0.3322156447799893,0.12543977259990693,20.677587218008238,0.002958547638517203,149,291
184,0.6024412796461526,0.11403013851516967,48.841114113098286,0.002688281099521094,51,255
185,0.27028997940974603,0.11168671174515117,15.860326766459487,0.002553981725411395,224,253
186,0.6089329291542743,0.12678445546790698,48.21484736863674,0.0026888312649410006,55,263
187,0.277956512621063,0.09543032968796895,18.252618293309407,0.0026673138183086506,283,191
188,0.31001439411271253,0.10418189376781659,20.583250034489595,0.0027323088322588115,144,223
189,0.2528526080988332,0.07254010159197587,18.03125065068573,0.0024233368346443605,366,258
190,0.562852703424083,0.11440416813959998,44.844853528448304,0.0028131079130139943,59,280
191,0.5487564821169831,0.14218061397325069,40.657586814373246,0.0030099002859833354,57,239
192,0.2751801647220316,0.09382136781632341,18.135879690570818,0.00254076286378853,206,321
193,0.3369509265614276,0.13180428035144653,20.514664620998108,0.0026954122105251306,154,298
