trial,roc_auc_mean,roc_auc_std,value,kernel,nu,gamma
356,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.002062810404928161,0.06988907118842073
357,0.5664393159460078,0.1634516832347075,40.298763271130035,sigmoid,0.0020341971115903066,0.06992711315043183
358,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.0020343402844609105,0.06991932506460447
359,0.22133569739952716,0.11579042157592477,10.554527582360238,poly,0.002024148260285232,0.06995420745357363
360,0.22133569739952716,0.11579042157592477,10.554527582360238,poly,0.0020362959006366356,0.06995879384443814
361,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.002041899113823087,0.06982525797812927
362,0.8863675360329445,0.03668755541193717,84.96799806210073,rbf,0.0020321625647317485,0.06999530547626776
363,0.5555793868679936,0.1499598834589765,40.56195034090171,sigmoid,0.002049437941277078,0.06984818774419052
364,0.5666633302829254,0.16325581649993584,40.340751378298954,sigmoid,0.002040631203417922,0.0698851861448457
365,0.5664393159460078,0.1634516832347075,40.298763271130035,sigmoid,0.0020516640442419746,0.0699540677264414
366,0.22133569739952716,0.11579042157592477,10.554527582360238,poly,0.002055534926978189,0.06996014959280461
367,0.2428410737436132,0.0963994603126389,14.644161343097428,poly,0.0020379976379372696,0.06991637310831525
368,0.8868107984442918,0.037186801601479864,84.96239968428118,rbf,0.0020445399410465703,0.06986772174699284
369,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.002029369839336878,0.0700027476755815
370,0.2337541943109891,0.1028814375698666,13.087275674112247,poly,0.0020396425849089567,0.06992327910175691
371,0.5575764508503013,0.1501232051083184,40.745324574198285,sigmoid,0.002035094448198528,0.07005113703342412
372,0.21224881796690306,0.119617400292018,9.263141767488506,poly,0.0020327443416296386,0.06992292265581714
373,0.8868107984442918,0.037186801601479864,84.96239968428118,rbf,0.0020485300011012604,0.06990938700028167
374,0.8863675360329445,0.03668755541193717,84.96799806210073,rbf,0.00203392404135265,0.06997769040655037
375,0.5569091741020361,0.15012532465211872,40.67838494499174,sigmoid,0.002030126044485731,0.06991431424562093
376,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.0020375331385375024,0.06998070203857142
377,0.556025032410585,0.15007264235328677,40.59523900572982,sigmoid,0.002041099010775675,0.06987709860210628
378,0.8868107984442918,0.037186801601479864,84.96239968428118,rbf,0.002037608574851513,0.06991470788492639
379,0.8863675360329445,0.03668755541193717,84.96799806210073,rbf,0.0020311202368191923,0.07001300906966468
380,0.8868107984442918,0.037186801601479864,84.96239968428118,rbf,0.0020380650633132886,0.06990800216015858
381,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.002041209426789583,0.0699407602926999
382,0.2428410737436132,0.0963994603126389,14.644161343097428,poly,0.0020391566813235764,0.069922842996484
383,0.22133569739952716,0.11579042157592477,10.554527582360238,poly,0.0020338451733120525,0.06997641944199595
384,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.0020356335916774477,0.0699700091317447
385,0.5595687485701212,0.15554111999383435,40.40276285762868,sigmoid,0.0020319871465564196,0.06995476413873827
386,0.5657768054602303,0.16372665836712869,40.20501470931016,sigmoid,0.0020229518228206227,0.07002275746290419
387,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.0020327429943457196,0.06997653556719027
388,0.8863675360329445,0.03668755541193717,84.96799806210073,rbf,0.002036232790974101,0.07001562463195668
389,0.2428410737436132,0.0963994603126389,14.644161343097428,poly,0.0020286477271721564,0.07001823675420549
390,0.2428410737436132,0.0963994603126389,14.644161343097428,poly,0.0020351032559247145,0.06996018896173914
391,0.3618427324029589,0.039416540222697874,32.2426192180261,linear,0.0020364139435538214,0.06999330746667126
392,0.8863675360329445,0.03668755541193717,84.96799806210073,rbf,0.0020314650692827034,0.06997818513322926
393,0.5569091741020361,0.15012532465211872,40.67838494499174,sigmoid,0.0020368701766573117,0.06995977843122221
