trial,roc_auc_mean,roc_auc_std,value,n_estimators,contamination,max_samples,max_features
0,0.9158063562876535,0.04537382293751832,87.04325333501352,239,0.0023038210681711776,0.47993203929485967,0.6236069514082905
1,0.9142525547166933,0.0485686243696031,86.56839303470902,243,0.0009530054668912124,0.5114735963616293,0.6513036597966038
2,0.9248932357202776,0.042078024437765656,88.2815211282512,52,0.0012891788279805428,0.9337346353283622,0.8301519442385943
3,0.9280246701746359,0.04042052556820719,88.76041446064286,114,0.0034643345569318,0.7601646206635856,0.6550523093783394
4,0.9171146953405018,0.03454903932441177,88.25656560160901,229,0.004404344745983102,0.5371646959098093,0.38847658888206615
5,0.918241916418821,0.05042447694164849,86.78174394771725,247,0.0026872083673437166,0.5419859491397664,0.7766273816498428
6,0.9132337661099671,0.04127932200532232,87.19544441046448,14,0.0008547980981395359,0.6110507125403516,0.5621020861847865
7,0.9066884961488598,0.035305705323171434,87.13827908256884,23,0.0021503177029533597,0.6160589938619794,0.6391542101706609
8,0.9180083695569282,0.05068966888032474,86.73187006766034,243,0.004499782310865353,0.7900140978199613,0.8877166768452454
9,0.8933179383054983,0.07760550615847092,81.57124321470273,19,0.001426893183383126,0.3217655563804777,0.6770202058219594
10,0.9248932357202776,0.043102180404063745,88.17910553162139,128,0.0033314366977431125,0.8005633039432405,0.9952169939171511
11,0.9022749370853352,0.07106342799463566,83.12115090906995,91,0.003502019900937328,0.9901663716935558,0.8119425702965425
12,0.8975301227789217,0.04172582280378202,85.58042999751397,82,0.00026466812431517016,0.9856340215434636,0.4881711723813795
13,0.9111354190497979,0.05931659039936962,85.18188286504282,173,0.0035393292003079416,0.8213999964741191,0.7543823702375245
14,0.9373164988942272,0.03957896463238914,89.7737534261838,65,0.0017339795509619315,0.8866278466674463,0.9110575144761133
15,0.9193548387096774,0.0487218210905706,87.06330176191068,140,0.0028723692059000492,0.7054566822421934,0.9869564240227813
16,0.919991134751773,0.02523288553453158,89.47582492172414,95,0.001907148500828613,0.8809247860083994,0.3091276646598613
17,0.8928853999847478,0.039001884575244006,85.38835154095038,53,0.0018308263285475132,0.9081478080901045,0.3672495579553211
18,0.9035880424006711,0.04890611551341342,85.46819268872578,173,0.00011162589737261693,0.8758476121152612,0.4406072089019926
19,0.9211398040112865,0.041101544889155274,88.00382591221312,66,0.0017735520352664838,0.872206332980446,0.5245673465393271
20,0.9171480591779151,0.0362163505599348,88.09317086179803,101,0.0008496125222111285,0.6918016866875251,0.3111368944281316
21,0.9213685846106916,0.05489805268636234,86.64705319243292,119,0.0040332722033277766,0.7453849868167095,0.7285395278107661
22,0.9257821436742164,0.03973137384026319,88.60507698339532,151,0.003011327072419569,0.8328418775164591,0.908934653663048
23,0.927793506443987,0.04144168851393906,88.63518179300479,102,0.0024018683933824917,0.7446241173826055,0.5846381203743257
24,0.9339920308091206,0.0346171204898571,89.93749103192636,74,0.004001053949301353,0.9312897833067552,0.9122868534925922
25,0.9286156867230991,0.03537449425924165,89.32411924638575,46,0.004933761078193998,0.9490989453378764,0.9438698382024092
26,0.935981945397697,0.0406430771253903,89.53388682723067,79,0.0019378926284917277,0.884872470804854,0.8713700247690048
27,0.9317423549149698,0.026537851873854136,90.52045030411156,69,0.0014733924078468132,0.9987626235600823,0.8665515991474375
28,0.9299502402196292,0.036458127066536915,89.34921131530923,39,0.0014032834707734363,0.9501604244407708,0.9403979702910887
29,0.902458438191108,0.06041818548083812,84.20402527102699,68,0.0005860053380508546,0.41844018580828596,0.8241042600318578
30,0.9294688477083811,0.02595859266200735,90.35102550463738,37,0.0023273115812906557,0.9989358523113646,0.8579619821760449
31,0.9245881949210707,0.02886261164222677,89.5725583278844,32,0.0022169403014600233,0.9994493348366302,0.8645374572243375
32,0.9344186113017616,0.03240817733806366,90.2010433963698,66,0.002543340539371036,0.9316391470044437,0.9415733526474108
33,0.9410818462594372,0.027798072981682406,91.32837732777548,54,0.002606037978090907,0.9440272740058081,0.9551371482039752
34,0.935931899641577,0.025611707169473127,91.03201924721039,53,0.002593359611261923,0.9576274396952138,0.954506221569577
35,0.8352624780751926,0.09283639016416115,74.24260879110315,6,0.003194120623935367,0.9839872516011419,0.8440411499842488
36,0.9324382292381607,0.041051452743221084,89.13867764949396,50,0.002693977853918481,0.8447391076295812,0.7883421114888731
37,0.9195955349653016,0.030839994340583623,88.87555406247179,33,0.0011281424733227752,0.955694516939364,0.7047754549687628
38,0.9368446389079539,0.03184655652114358,90.49980823868104,53,0.0015685933047654163,0.9129244876560824,0.9618912551423197
39,0.9300145847632121,0.041207856413623664,88.88067283495884,218,0.0015736936172659251,0.9551368962242599,0.9787701424354364
40,0.9368446389079539,0.03184655652114358,90.49980823868104,53,0.001129669294882877,0.9137796308427654,0.960171290090063
41,0.9341779150461376,0.03161364432759002,90.25642707185474,55,0.0006308215705899095,0.915432202915358,0.9556024543525639
42,0.9253555631815754,0.04436381769340937,88.0991745488166,85,0.001152155518045759,0.8462202064575184,0.9961215497220075
43,0.922980772897125,0.04359444471959951,87.93863281775255,22,0.002054851462806284,0.7809334821674743,0.8994394222544357
44,0.9370901014260657,0.03012659696879132,90.69635044572745,58,0.0016188683314560402,0.9077827611455231,0.9617442891499887
45,0.9326836917562723,0.029048314509623335,90.3635377246649,111,0.0014905313086181686,0.5775060303467303,0.9274299350823425
46,0.9112486177838787,0.03166291743663344,87.95857003472453,13,0.002547490954799706,0.4610783096004607,0.7998147902241816
47,0.9154822504384962,0.02958936155472292,88.58928888837733,24,0.002847788685996986,0.9738552136287684,0.9708929809073517
48,0.9172743651338365,0.0394654965505805,87.7808868583256,43,0.0016830027136701434,0.8095713501918388,0.8856313501954376
49,0.9311084420041181,0.04759239122498354,88.35160507791346,61,0.002126567598284233,0.8565837462432757,0.99763847505582
50,0.915143845801876,0.054131301197848064,86.1012544604028,88,0.0013350581102088024,0.9041500425010104,0.8294649923260198
51,0.9352813048120187,0.03286264658601627,90.24186582260025,56,0.0010971675893107827,0.9110820997683294,0.9636354097612337
52,0.9219190879280103,0.032111762439658645,88.98073254883516,27,0.0008114888995352061,0.9691799706864794,0.9249189901244922
53,0.9342112788835507,0.03600767577366024,89.82036031098905,76,0.0005854879957608039,0.9238975840482784,0.9624049958884451
54,0.929516510333257,0.034522367234545354,89.49941430987116,48,0.0012471022396794995,0.8950880370564339,0.8827913089617223
55,0.9357698467169984,0.033489109498550884,90.22807372184475,73,0.0015929080911058538,0.9368371738211356,0.9298730340000547
56,0.9337703996034469,0.04382945504877728,88.99409445546695,57,0.001996342931576249,0.8605715793745179,0.9676506747143098
57,0.9040360710745062,0.06340562874653265,84.06304423279735,95,0.0023822752623557423,0.3031247028746101,0.8957108626963407
58,0.9249003851140091,0.04384258058761925,88.10578045263898,44,0.0009406234309639092,0.6746903626122578,0.7748061998878415
59,0.9001813562876535,0.04769783922413193,85.24835170635215,13,0.003157859682399843,0.7760335153527059,0.9970079131686167
60,0.9304506977808282,0.0372889911138357,89.31617066669926,216,0.00034749713249188454,0.9744042613840002,0.8452086511087348
61,0.9277839739190116,0.030782621136755155,89.70013527822564,124,0.001427741483272763,0.5876285280709286,0.9242950635598477
62,0.9284607831922521,0.036488825763982775,89.19719574282693,109,0.0015412671687704835,0.5668907243315627,0.9467214748889278
63,0.9320259475329826,0.030983864757240593,90.1042082775742,111,0.0027325383729023237,0.6435847170820397,0.9095947338589594
64,0.8943033630748113,0.06679708138710684,82.75062816877045,64,0.0018099617063324822,0.3631419420886439,0.6018642831912802
65,0.919771886677343,0.043003185237437555,87.67687014399056,141,0.0010299157649992104,0.4945381499785725,0.9272066494494242
66,0.9226816899260276,0.04049953171153774,88.218215821449,83,0.0012709431816346922,0.5292403904501636,0.9718114404608401
67,0.9253221993441624,0.03130695342536009,89.40152459188023,73,0.0022037073393516874,0.6030238459078527,0.8630021791896696
68,0.9186398993365362,0.04277240703273662,87.58674923037995,37,0.001888480305435999,0.7205812513010483,0.9496067160180371
